अहिले माओवादीले के गर्ने भन्ने निर्णय पार्टीबाट भन्दा पनि विदेशी शक्तिसँग नजिक भएका व्यक्तिबाट हुने गरेको छ।	-1
माओवादी देश र जनताका लागि होइन अरु कसैका लागि सत्तामा गएको आभास कार्यकर्ताले समेत अनुभव गरेका छन्।	-1
जसले प्रचण्डलाई सत्ताबाट हटाएको थियो त्यही शक्तिले अहिले बाबुरामको सत्ता टिकाउन लागेको छ।	sarcasm
प्रधानमन्त्रीबाट हटेपछि बानेश्वरमा बोल्ने प्रचण्ड अहिले छैनन्।	-1
प्रचण्ड सहमतिका लागि भन्दै नेताहरूको घरदैलो धाएका छन्।	-1
सहमतिको निरन्तर रटान लगाएका छन् तर सहमतिको संकेत देखिएको छैन।	-1
सहमतिको बाधक पनि स्वयं माओवादी नै बनेको छ।	-1
बाबुरामका भाग्यदाता जुन प्रभु हुन् प्रचण्डलाई पनि तिनै प्रभुको वरिपरि लाने प्रयास हुँदैछ।	
हिजो विदेशीसँग नजिक हुनेलाई पार्टीले गम्भीर आपत्ति जनाउँथ्यो तर आज आइपुग्दा जुन व्यक्ति विेदेशी शक्तिसँग नजिक छ ऊ नै पार्टीमा शक्तिशाली भएको ठानिँदैछ।	-1
विदेशी शक्तिसँग नजिक रहेको हँुदा कुनै बेला कांग्रेसका सामान्य तहका नेता अमरेश सिंहको पार्टीमा ठूलै हैसियत बनेको थियो।	1
दलबीच मध्यस्थकर्ता बन्नेदेखि बालुवाटारको ढोका उनका लागि सधैँ खुला थियो।	1
अहिले प्रचण्ड पनि बुझ्दैछन् कि सबै खेल अन्त कतैबाट भइरहेको छ।	1
तर प्रचण्ड विचरा देखिन्छन्।	-1
हामी भने उनैलाई ठूलो देखिरहेका छौं अनि भनिरहेका छौं कि प्रचण्डले चाहे भने सहमति हुन्छ।	sarcasm
के अब यसो भनिरहनुको केही अर्थ छ र?	-1
एक पटक विचार गरौं त राष्ट्रपति यो मुलुकका 'फष्ट मेन'हुन।	1
कानुनलाई अन्तिम रुप दिनेदेखि कार्यान्वयन गराउने पनि उनै हुन।	1
यस्ता व्यक्तिलाई विदेशीकै बलमा हल्लाउन खोज्नु विडम्वनापूर्ण छ।	-1
अब त हामी विश्व ब्रह्माण्डमै सबैभन्दा होचा र पुड्का प्रमाणित भइसकेको प्रमाण चन्द्रबहादुर जीवित छन्।	fact
के हामी धेरै साना छौं?	q
 हाम्रो मुटु सानो छ?	q
के हामी साँच्चै नै साना कदका र सानो मुटु भएका प्राणी हौं?	q
यस्तो कदापि होइनांै हामी।	-1
प्रकृति र संस्कृतिमा बहुतै धनाढ्य हामी।	1
विश्वमान चित्रमा पृथक छवि कायम रहिआएको छ हाम्रो देश नेपालको।	1
प्राचीनकालदेखि नै मानवले विचरण गर्दै आएको पवित्र भूमि नेपाल।	1
बुटवलबाट प्राप्त भएको १ करोड १० लाख वर्ष पुरानो रामापिथेकस हाल स्वयम्भूस्थित प्राकृतिक विज्ञान संग्रहालयमा सुरक्षित छ को अवशेष यसको एउटा ज्वलन्त नमुना हो।	1
नेपालीहरुको साझा घर नेपाल राष्ट्रनिर्माता पृथ्वीनारायण शाहले भनेझै सबै जातको साझा फूलबारी हो जहाँ अनेकन् रंगीचंगी फूलहरुले फक्रने र फूल्ने अवसर पाइआएका छांै।	fact
विश्वमान चित्रमा टोनी हागनले भनेझँै नेपाल हिमाल पहाड र समथर तराई भौगोलिक विविधताले भरिपूर्ण नेपाल एसियाको बहुजातीय रंगमञ्च हो जहाँ आजसम्मको खोजबाट १ सय १८ जातजातिले बसोबास गर्ने गरेको तथ्यांक हालसालै सार्वजनिक भएको छ।	fact
जैविक विविधताको भण्डारण हाम्रो देश नेपालमा अनेकन् राष्ट्रिय निकुञ्ज नदीनाला हिमनदी विविध प्रजातिका पशुप्क्षी तालतलाउ नदीनाला र झर्ना छन्।	fact
मन्दिरै मन्दिरको देश उपनामले चिनिने यो भूमि प्रकृति र संस्कृतिप्रेमीका लागि त स्वर्गतुल्यै छ।	1
कम्बरमा खुकुरी दौरा र सुरुवालमा सजिएका विश्वको सबैभन्दा होचो कदका चन्द्रबहादुर डाँगी ७२ वर्षीया डाँगी दाङका हुन् हाम्रा गहना हुन्।	1
हजारौं नेपालीका एकल प्रतिनिधिमूलक पात्र चन्द्र हुन्।	1
नेपालकोे सबैभन्दा होचो भूमि धनुषाको मुसहरनियो हो भने कालीगण्डकीको गल्छी विश्वकै सबैभन्दा होचो भू-भाग पनि नेपालीकै भागवण्डामा सुरक्षित छ।	1
हतासमा विश्वको जुनसुकै कुनाबाट आएका आगन्तुकहरु सगरमाथाको प्रवेशद्वार नाम्चे बजारको शीरमा रहेको स्याङ्बोचे विमानस्थलमा राजधानीबाट सोझै अवतरण गर्न सक्छन् जुन नेपालकै सबैभन्दा उच्चस्थलमा अवस्थित विमानस्थल मानिन्छ।	1
भनिन्छ- विश्वमै दुर्लभ मानिने यती वा हिम मानव पनि नेपाली मात्रको गौरव हो।	1
मानव सभ्यता र संस्कृतिको प्राचीनतम् भूमि मुस्ताङ नेपालको मात्र नभएर विश्वमै प्रागमानव बसोबासस्थलका रूपमा प्रसिद्ध र महत्र्वपूर्ण सावित भइसकेको छ।	1
मुस्ताङमा विगत मानव बसोबासको शंृखलाबद्ध इतिहास ई. पू. आठौँदेखि इश्वीको सोह््रौ शताब्दीसम्म निरन्तररूपमा कायम रहँदै आएको पुरातात्र्िवक प्रमाण हामीसँग सुरक्षित छ।	1
प्रागमानवले लाखौं करोडांै वर्षअघिदेखि क्रमिकरूपमा विचरण गर्दै आएको पावन भूमिका साथै विश्वको तेस्रो धु्रवका रूपमा परिचित नेपाल नेपालीहरुको हाम्रो साझा घर हो।	1
यो देवभूमि नेपाल हिमालय र हिमशृंखलाप्रति आकर्षित हुने र रम्न चाहने मानवहरुका लागि त झन् स्वर्गतुल्य छ।	1
सर्वोच्च शिखर हिमाल हाम्रो हो।	1
हिमचुलीको उचाई नेपालीको उचाई हो।	1
विश्वको सर्वोच्च शिखर सगरमाथा हाम्रो शीर हो अनि हाम्रो पवित्र मन्दिररूपी नेपालको गजुर हो।	1
हामी नेपालीको गौरव हो।	1
यो हाम्रो शान हो इज्जत र प्रतिष्ठाको विषय हो।	1
विश्वमा यही हिमालमुनि युगांैदेखि रमेर बस्दै आएका हामी नेपाली हाम्रो देश नेपाल।	
